id,repo,sha,date,cat,subject,files,nfiles,diff_lines,before_chars,after_chars,delta
hyperium__hyper__ccc1e850,hyperium/hyper,ccc1e850dc0cda3e71b0acd11f60ca3d48d09034,2026-07-07,nonfix,feat(rt): add `ReadBufCursor::initialized_unfilled()` method (#4115),src/rt/io.rs,1,40,642,1829,1187
pyo3__pyo3__63430bf4,pyo3/pyo3,63430bf4302f64e28c4d633606c563cfb3999f77,2025-10-01,nonfix,Add conversions for `jiff::civil::ISOWeekDate` (#5478),src/conversions/jiff.rs,1,47,283,955,672
rust-random__rand_core__dace7fc0,rust-random/rand_core,dace7fc0c70c08a7dc40ee8a11d7bc7eeb108c4b,2025-05-28,nonfix,"Add some tests for BlockRng, BlockRng64 and Xoshiro RNGs (#1639)",src/block.rs,1,29,1012,1804,792
servo__rust-smallvec__e96793e5,servo/rust-smallvec,e96793e571a84a0e98656c2cf1361c324f29bd3b,2017-06-22,nonfix,impl std::io::Write for SmallVec,lib.rs,1,39,1046,1813,767
rwf2__Rocket__7f34aacd,rwf2/Rocket,7f34aacd6099acff15a450713c6edfe9584bb803,2021-06-26,nonfix,"Add 'Missing', 'IndexFile' 'FileServer' options.",core/lib/src/fs/server.rs,1,84,2251,3268,1017
fadeevab__cocoon__975bb773,fadeevab/cocoon,975bb773083751f6d7c31fb8f482fc9485ab86c0,2020-07-02,nonfix,Test header modification (negative test),src/header.rs,1,25,568,1512,944
awslabs__tough__3d75feed,awslabs/tough,3d75feed124339b3b5bccd1d81478181f39f22a9,2019-11-08,nonfix,tuftool: Add `root expire` subcommand,tuftool/src/root.rs,1,33,1103,1854,751
nix-rust__nix__9113d606,nix-rust/nix,9113d606be7104585164718e81d2cc663c26df29,2023-12-10,nonfix,feat: EventFd type (#1945),src/sys/epoll.rs|src/sys/eventfd.rs,2,77,209,1405,1196
skytable__skytable__d22fec80,skytable/skytable,d22fec8036999d86df45e5d996fb7e9895cc8d72,2021-05-10,nonfix,Implement complete actiongroup parsing,server/src/protocol/parserv2.rs,1,22,889,1598,709
waycrate__swhkd__067cbe28,waycrate/swhkd,067cbe284381597c0761a0a7a17cd06cbcfbc21b,2022-02-05,nonfix,feat: add handling for multiline commands,src/config.rs,1,29,4236,4867,631
paritytech__parity-ethereum__5bd6b208,paritytech/parity-ethereum,5bd6b208af94efe87c20a1931c3e7896543c402e,2020-01-06,nonfix,Forward-port #11356 (#11359),ethcore/verification/src/queue/kind.rs|ethcore/verification/src/queue/mod.rs,2,27,1511,2281,770
servo__rust-smallvec__946aab6a,servo/rust-smallvec,946aab6ae43f6dc0bd0974d4d7a365e07f2ee5e6,2016-05-23,nonfix,"Implement PartialEq, Eq, PartialOrd, Ord on SmallVec.",lib.rs,1,63,376,1630,1254
tafia__calamine__60edea63,tafia/calamine,60edea63621596f71ba60fe9fea64cf213992258,2016-10-24,nonfix,remove unexp! and parse dimension from bytes,src/lib.rs,1,116,7636,8375,739
crossbeam-rs__crossbeam__d0c8fc1c,crossbeam-rs/crossbeam,d0c8fc1ccc998790f92ddcd43b765e78db5a38fa,2020-04-19,nonfix,Add len() methods to deque,crossbeam-deque/src/lib.rs,1,70,200,1467,1267
tokio-rs__axum__9fab45af,tokio-rs/axum,9fab45af46bc8bc7ca79566e45a14f86ed03305e,2024-12-02,nonfix,Make ConnectInfo work with ListenerExt::tap_io (#3059),axum/src/extract/connect_info.rs|axum/src/serve.rs|axum/src/serve/listener.rs,3,51,3007,4384,1377
jeromefroe__lru-rs__1bd2214f,jeromefroe/lru-rs,1bd2214fd82445c7b6ab90e8d063698f69f694d8,2022-05-17,nonfix,Add LruCache::pop_entry method,src/lib.rs,1,61,626,1659,1033
tokio-rs__tokio__a0240717,tokio-rs/tokio,a02407171a3f1aeb86e7406bcac9dfb415278308,2024-05-19,nonfix,task: clarify that you can't abort `spawn_blocking` tasks (#6571),tokio/src/runtime/task/abort.rs|tokio/src/runtime/task/join.rs|tokio/src/task/blocking.rs|tokio/src/task/mod.rs,4,41,6705,7621,916
rust-lang__futures-rs__37dfb05b,rust-lang/futures-rs,37dfb05b6c9414ede608d61e4c4507cd7c148038,2021-09-03,nonfix,Remove implicit clear in `ReadyToRunQueue::drop` (#2493),futures-util/src/stream/futures_unordered/mod.rs|futures-util/src/stream/futures_unordered/ready_to_run_queue.rs,2,36,1841,3097,1256
time-rs__time__cccc2c08,time-rs/time,cccc2c088284fdb52e9ec378d8c435f9becad216,2026-05-31,nonfix,Directly construct owned variants when parsing v3,time/src/format_description/parse/format_item.rs|time/src/format_description/parse/mod.rs,2,80,910,1887,977
diesel-rs__diesel__85902e3d,diesel-rs/diesel,85902e3dd0fab4b32a8734639f0b540b7f6b3e46,2023-01-16,nonfix,actually allow conn to recover transaction state (somewhat unrelated),diesel/src/connection/transaction_manager.rs|diesel/src/pg/connection/raw.rs,2,10,6869,7540,671
rust-embedded__heapless__fe265042,rust-embedded/heapless,fe2650423e457ca0d46980d18fc581f279d897a7,2018-05-08,nonfix,Rewrite Vec::IntoIter to avoid reversing it,src/vec.rs,1,110,1327,2267,940
dfinity__stable-structures__2074af92,dfinity/stable-structures,2074af92fee73d0d1364d00adcb8ab81e9f0e107,2025-07-08,nonfix,perf: add batch read of BTreeMap node children addresses (#364),src/btreemap/node.rs|src/btreemap/node/v2.rs|src/lib.rs,3,49,3147,4402,1255
rkyv__rkyv__8c1a8865,rkyv/rkyv,8c1a8865337689a817da321b04e45b672560d797,2024-03-22,nonfix,Gate problematic impls behind extra_traits,rkyv/src/option.rs|rkyv/src/result.rs,2,13,944,1733,789
bennetthardwick__nano-arena__c8ed3111,bennetthardwick/nano-arena,c8ed3111904b15251f8d701392422f2e6a2715ab,2020-05-07,nonfix,Add debug printing,src/lib.rs,1,25,382,997,615
rust-lang__cargo__5382aa65,rust-lang/cargo,5382aa650aecffb73f19eaa5ec73345ad1a1b9d2,2021-05-20,nonfix,Add rustc-link-arg-bin key to specify per-bin link args.,src/cargo/core/compiler/custom_build.rs|src/cargo/core/compiler/mod.rs,2,22,7712,8672,960
hyperium__tonic__94587ce2,hyperium/tonic,94587ce2fc05d2fbede4d5a889c1ccf446286a13,2024-11-26,nonfix,feat(reflection): Expose ReflectionService (#2066),tonic-reflection/src/server/v1.rs|tonic-reflection/src/server/v1alpha.rs,2,82,6808,7708,900
svix__svix-webhooks__d12accaf,svix/svix-webhooks,d12accaf91eec92fc231ecf6751717f7b307626c,2026-07-31,nonfix,svix-cli(wizard): small refactor on login to have reusable functions,svix-cli/src/cmds/login.rs,1,58,1729,2430,701
chris-morgan__anymap__6bd64ec0,chris-morgan/anymap,6bd64ec0703e63441de187902de9f272c59f47cc,2014-06-12,nonfix,Switch from SipHash to a faster TypeId hasher.,src/lib.rs,1,37,163,768,605
tiby312__reorder__2fc5eeb2,tiby312/reorder,2fc5eeb26541565b82a6a34feaa8f925fb53ba90,2019-01-08,nonfix,cleanup,src/lib.rs,1,36,415,1039,624
tokio-rs__slab__864e745b,tokio-rs/slab,864e745b8907f8fce197c8e5aceadace2c237c76,2015-07-20,nonfix,Implement replace_with method,src/lib.rs,1,45,603,1704,1101
skytable__skytable__133400b8,skytable/skytable,133400b8464c1c33f5e9cc74db1cd360b2ec6c31,2021-07-29,nonfix,Only run mutating DDL queries if state is okay,server/src/queryengine/ddl.rs,1,111,5191,5989,798
Chopinsky__byte_buffer__6aa016a1,Chopinsky/byte_buffer,6aa016a1b6521398996714db8e8d9fef0c8fa5c6,2019-08-08,nonfix,many updates and test,sync_pool/src/utils.rs,1,64,789,1985,1196
rust-lang__cargo__7ca522ae,rust-lang/cargo,7ca522ae2f803e89e5f12ae5a681ec9681fb56fd,2022-03-04,nonfix,Remove some dead code in SourceMap,src/cargo/core/source/mod.rs,1,20,414,1243,829
andrewhickman__id-map__d5eeba5b,andrewhickman/id-map,d5eeba5b914f664e47b2502a1b883c5cad89f3f6,2017-06-12,nonfix,add mutable iterators,src/lib.rs|src/tests.rs,2,77,729,1422,693
stellar__rs-stellar-strkey__f7b19e19,stellar/rs-stellar-strkey,f7b19e19c9b940055062aecd25a1d489fde77317,2026-05-11,nonfix,Warn when CLI outputs private keys (#116),src/cli/decode.rs|src/cli/encode.rs|src/cli/mod.rs,3,38,2469,3218,749
hrektts__cdr-rs__ef391261,hrektts/cdr-rs,ef391261a3a7ecaa49456528770d8c98a4dd7098,2021-03-21,nonfix,Char type must have a length of one,src/de.rs|src/error.rs|src/ser.rs|src/size.rs,4,50,2662,3280,618
fadeevab__cocoon__e15f8a4c,fadeevab/cocoon,e15f8a4c40b3e65bae708e36129c2f44f45d7d25,2020-05-27,nonfix,Cover header with unit-tests,src/header.rs,1,101,2291,3054,763
GitoxideLabs__gitoxide__86e90d86,GitoxideLabs/gitoxide,86e90d8626c01613220ae88100eb3815b31f30ef,2026-08-06,nonfix,Align line numbers in output and start `gix blame` from worktree contents,gitoxide-core/src/repository/blame.rs,1,49,2114,3560,1446
rust-openssl__rust-openssl__3291ea16,rust-openssl/rust-openssl,3291ea16ef45f5d5632159137ff3e9ce8e114ecd,2024-08-31,nonfix,add basic EVP_KDF bindings,openssl-sys/src/handwritten/kdf.rs|openssl-sys/src/handwritten/params.rs|openssl-sys/src/handwritten/types.rs,3,20,375,1140,765
SolraBizna__outer_cgi__43cd9f1b,SolraBizna/outer_cgi,43cd9f1b67f30f36472eea5c94d8bc3a58892d85,2018-09-02,nonfix,How long was THAT mistake there?,src/unix.rs,1,8,2723,2725,2
Cisco-Talos__clamav__53149734,Cisco-Talos/clamav,531497348592ad42125e2edc90b9254e6a3faea7,2025-08-18,nonfix,Update generated sys.rs file,libclamav_rust/src/sys.rs,1,132,3559,3559,0
tokio-rs__prost__38533efe,tokio-rs/prost,38533efe19633391b84bf6b36cb9c225d562a017,2024-12-06,nonfix,Make `key_len` and `encoding_len_varint` const (#1199),prost/src/encoding.rs|prost/src/encoding/varint.rs,2,6,447,457,10
rust-lang__cargo__22754b16,rust-lang/cargo,22754b16ad079cbeb116557d2e9a5120230f3b9f,2026-09-01,nonfix,refactor(network): Pull out constants,src/util/network/retry.rs,1,8,217,233,16
coreos__coreos-installer__230afbe8,coreos/coreos-installer,230afbe857205a2e742757764f13d5d2fc67945b,2021-09-10,nonfix,"osmet: consistently use ""xzpacked_image"" term",src/osmet/mod.rs,1,16,4384,4398,14
droundy__internment__546142b2,droundy/internment,546142b27293f1db7c4eb8d9935e936ae65aeccc,2018-02-18,nonfix,use HashSet on ArcIntern to avoid Clone and be more efficient,src/lib.rs,1,35,1602,1647,45
RustCrypto__stream-ciphers__ed9dfee6,RustCrypto/stream-ciphers,ed9dfee6238ed2ebeb9113a7bb2b81713fb40eec,2019-10-22,nonfix,chacha20 v0.2.2,chacha20/src/block/mod.rs|chacha20/src/cipher.rs|chacha20/src/lib.rs,3,12,345,345,0
icedland__iced__cef183b9,icedland/iced,cef183b92baa53ba282a4cafba5a49bccea88447,2021-10-05,nonfix,Check if a64 before if is-64bit,src/rust/iced-x86/src/decoder.rs,1,46,1906,1938,32
constantoine__totp-rs__fe2363c7,constantoine/totp-rs,fe2363c77bb05a480b9d836a3ac47e4a714a7362,2022-08-08,nonfix,TOTP::new checks digits value compliance to rfc,src/lib.rs|src/rfc.rs,2,21,3633,3657,24
mcginty__snow__79b2aebb,mcginty/snow,79b2aebb564af8d87b130f5dece69fc48624dd17,2019-05-01,nonfix,reduce Session memory footprint after handshake by heap allocating (#52),src/session.rs,1,8,1247,1268,21
chris-morgan__anymap__8e12affa,chris-morgan/anymap,8e12affa595cc5e1e580e376fae9bc03d4fe0acb,2015-02-04,nonfix,0.9.10: Rust update,src/lib.rs,1,19,1858,1865,7
rust-vmm__vmm-sys-util__774eb113,rust-vmm/vmm-sys-util,774eb11317e59751d8eb42a549e1f2d2a804d57d,2019-09-05,nonfix,signal: Use c_int as signal number type,src/signal.rs,1,6,1576,1582,6
waycrate__swhkd__343e5c74,waycrate/swhkd,343e5c74da028a1826830a38ad34e41edd028eb4,2022-02-13,nonfix,refactor: convert another if block into guard clause,src/config.rs,1,45,7420,7436,16
NilsIrl__MozWire__ebf05d26,NilsIrl/MozWire,ebf05d2667e92e85a3d94eb3eb08520b6e7c416b,2022-06-18,nonfix,Improve help message for device-remove,src/main.rs,1,4,8519,8537,18
tokio-rs__prost__067e2595,tokio-rs/prost,067e259518dc35f945c31832b522c6f1c47e17c7,2020-01-11,nonfix,Update derive to not require bytes,prost-derive/src/lib.rs|src/lib.rs,2,11,1355,1383,28
graphql-rust__juniper__4884aeca,graphql-rust/juniper,4884aeca9a178cde4407af73b4b7d9a3cbb10cec,2025-05-23,nonfix,Leverage `derive_more::IntoIterator`,juniper/src/executor/look_ahead.rs|juniper/src/value/object.rs,2,34,4326,4328,2
LFDT-Lockness__cggmp21__b3bcc205,LFDT-Lockness/cggmp21,b3bcc2053ea785226d0cd0e1d5597066b74857e5,2025-08-18,nonfix,update paillier_encryption_in_range_with_el_gamal zkp to match ranges from cggmp24,paillier-zk/src/paillier_encryption_in_range_with_el_gamal.rs,1,16,4243,4275,32
http-rs__async-h1__0cad5b4d,http-rs/async-h1,0cad5b4d2007a77187f41de6439957ce2416155e,2020-07-04,nonfix,fixup function signatures,src/client/encode.rs|src/server/encode.rs|src/server/mod.rs,3,6,358,374,16
websockets-rs__rust-websocket__7df7e2d4,websockets-rs/rust-websocket,7df7e2d49e1a463320e2603c4d679447224906b4,2015-04-02,nonfix,"copy_memory(d, s) -> copy_memory(s, d)",src/header/accept.rs|src/header/key.rs,2,6,1362,1362,0
sharkdp__bat__563c4c29,sharkdp/bat,563c4c290d2ab85e3894c9ef7f481e1187a016b0,2025-07-10,nonfix,Consistent spaces in `quote!` invocations,build/syntax_mapping.rs,1,8,265,268,3
metrics-rs__metrics__d107504f,metrics-rs/metrics,d107504fce1767d849c8306a3ad28a6c6ff21a09,2021-07-15,nonfix,update,metrics-exporter-prometheus/src/builder.rs,1,5,3860,3898,38
otake84__messagepack-rs__8cc32043,otake84/messagepack-rs,8cc320439bee186ac0847442c5149e059c109a05,2019-08-01,nonfix,Add Seek Constraint,src/deserializable.rs|src/value.rs,2,18,8329,8378,49
tauri-apps__tauri__b5ef603d,tauri-apps/tauri,b5ef603d84bd8044625e50dcfdabb099b2e9fdd9,2025-11-16,nonfix,chore(deps): update NSIS to 3.11 (#14478),crates/tauri-bundler/src/bundle/windows/nsis/mod.rs,1,9,837,837,0
rosenpass__rosenpass__fec9b451,rosenpass/rosenpass,fec9b451291b8e0dcc2f3aed48d14b28393349d2,2026-08-19,nonfix,use `secret_policy_try_use_memfd_secrets` in tests instead of `secret_policy_use_only_malloc_secrets` due to incompatibl,rosenpass/src/internal/secret_memory/secret.rs|rosenpass/src/internal/secret_memory/serialization.rs|rosenpass/src/internal/wireguard_broker/api/server.rs|rosenpass/src/internal/wireguard_broker/brokers/netlink.rs,4,19,2413,2435,22
paritytech__parity-ethereum__1871275e,paritytech/parity-ethereum,1871275ecdf02431bf67d09a1b25be8ff8916e3a,2019-02-26,nonfix,Refactor ethcore::client::TransactResult to use it inside std::result::Result (#10366),ethcore/src/client/evm_test_client.rs|ethcore/src/client/mod.rs|ethcore/src/json_tests/state.rs|evmbin/src/info.rs,4,104,6803,6810,7
awslabs__tough__4e592934,awslabs/tough,4e592934130a9bc6e5750a958f0a12af59f7abec,2019-11-05,nonfix,tough: Don't fail early when there's more to be done,tough/src/lib.rs,1,5,6644,6681,37
rust-random__rand_core__efcd06fc,rust-random/rand_core,efcd06fc6c94aaf8d89959a967ac8d2766559fa8,2026-01-23,nonfix,Re-export `Infallible` (#56),src/lib.rs,1,6,526,540,14
solana-labs__rbpf__dd1ecc09,solana-labs/rbpf,dd1ecc095d7312045219d04e07463eb0e22c2f56,2023-09-25,nonfix,jit: correctly load the StableResult discriminant in emit_result_is_err (#514),src/jit.rs|src/vm.rs,2,20,973,1008,35
uutils__coreutils__cfbfccb1,uutils/coreutils,cfbfccb1adda52316bca063ea242a791cb2e35da,2026-08-05,nonfix,cut: return early if invalid arg combinations,src/uu/cut/src/cut.rs,1,44,4323,4346,23
maciejhirsz__beef__64b7812a,maciejhirsz/beef,64b7812a3e10524a64404a47551e59a1a4b0f195,2020-03-14,nonfix,Cast fat raw pointers to thin raw pointers without going through refs (#9),src/lib.rs,1,16,235,249,14
rusqlite__rusqlite__280df961,rusqlite/rusqlite,280df96145f648350828ddbb210475530b21f6e9,2025-02-12,nonfix,Remove unused DerefMut impl,src/serialize.rs,1,11,304,341,37
CosmWasm__serde-json-wasm__1d82dcda,CosmWasm/serde-json-wasm,1d82dcdac4704359caa848467cd9392ba0969a8d,2021-01-14,nonfix,s/backslash/contains_backslash/ for clarity,src/de/mod.rs,1,6,1236,1263,27
otake84__messagepack-rs__bae74b64,otake84/messagepack-rs,bae74b64ad1b2ee68365768b4a3a027b2294c499,2019-07-18,nonfix,Add Int64 to Value,src/value.rs,1,7,260,276,16
rust-vmm__vmm-sys-util__1ec2f9da,rust-vmm/vmm-sys-util,1ec2f9da2b11925f7c648cfba37a2459dbdca603,2019-10-16,nonfix,fam: macro to impl FamStruct also takes entries field name,src/fam.rs,1,9,360,372,12
return__branca__347a6b7c,return/branca,347a6b7caa81b51323f004c68fce9f4f6c13c516,2018-12-29,nonfix,branca: clarify expect message.,src/lib.rs,1,4,3986,4026,40
crossbeam-rs__crossbeam__6bda4f11,crossbeam-rs/crossbeam,6bda4f1186984a2b7d0e665a9f8922ba7e227571,2018-09-11,nonfix,Use custom callback type,src/internal/select.rs,1,116,2186,2204,18
rust-vmm__vm-memory__803d1daf,rust-vmm/vm-memory,803d1daf65de5885ee48bf24ac0bd8fc838f88df,2020-01-23,nonfix,[mmap_unix] remove dependency on tempfile,src/mmap_unix.rs,1,9,3906,3934,28
time-rs__time__3d0b9813,time-rs/time,3d0b981381de87d2be924129af3fdb9626bfe049,2025-03-04,nonfix,Add parentheses for clarity,time/src/date.rs|time/src/month.rs,2,8,939,986,47
KizzyCode__tiny_future-rust__8c58d017,KizzyCode/tiny_future-rust,8c58d01763b11c231a065279235e7c4d8048b082,2018-03-06,nonfix,Allow `FnOnce` as accessor,src/lib.rs,1,4,385,389,4
rustls__rustls__fcc66318,rustls/rustls,fcc66318740c1ea233cdcd1f5ebdfc96bf4a57a7,2026-02-08,nonfix,server: inline ExtensionProcessing::process_tls12(),rustls/src/server/hs.rs,1,68,1972,1722,-250
kamadak__exif-rs__8a853122,kamadak/exif-rs,8a853122acc790c3e0be5111012092600bfc01ef,2020-02-29,nonfix,Call Reader::read_raw from read_from_container.,src/reader.rs,1,11,949,666,-283
tokio-rs__axum__df55d83f,tokio-rs/axum,df55d83f2984306994725b46a461aaa1e354e29e,2025-05-06,nonfix,Further refactor `json_content_type` (#3340),axum/src/json.rs,1,24,509,417,-92
apache__incubator-teaclave-sgx-sdk__e823b960,apache/incubator-teaclave-sgx-sdk,e823b960ae7e11e47c002f1fdfc92272c5063a45,2020-12-29,nonfix,cov: remove redundent line,sgx_cov/lib.rs,1,4,2163,1948,-215
multiformats__rust-multihash__3fb4ae31,multiformats/rust-multihash,3fb4ae31c475dca9ce02e75188de764fb74a08c7,2021-10-28,nonfix,Resolve feedback,src/error.rs|src/multihash.rs,2,18,1233,1036,-197
paritytech__parity-ethereum__6e34ee68,paritytech/parity-ethereum,6e34ee68372591e2f8eca1a488b2512c3717b3ed,2019-11-22,nonfix,Don't prune ancient state when instantiating a Client (#11270),ethcore/src/client/client.rs,1,7,4442,4274,-168
cassandra-rs__cassandra-rs__dfc5d793,cassandra-rs/cassandra-rs,dfc5d793d5f683864bcbec235901d85cfaed1c35,2017-07-27,nonfix,Miscellaneous tidyups.,src/cassandra/cluster.rs|src/cassandra/column.rs|src/lib.rs,3,5,278,220,-58
fastly__lucet__a6db2c04,fastly/lucet,a6db2c04d56a5e97e00e69337c3ce674a8753235,2019-11-26,nonfix,remove some unnecessary cloning in `#[lucet_hostcall]`,lucet-runtime/lucet-runtime-macros/src/lib.rs,1,8,3538,3486,-52
polkadot-evm__frontier__0b524e8b,polkadot-evm/frontier,0b524e8bd6c2b38ac776d6601e413f66854dfb22,2024-05-07,nonfix,Use EVMFungibleAdapter as default implementation (#1416),frame/evm/src/lib.rs,1,32,1306,1169,-137
servo__rust-smallvec__b3fbc211,servo/rust-smallvec,b3fbc2110f608720d90244c310968d42e9a53e49,2019-10-19,nonfix,Use SliceIndex trait for SmallVec's Index trait (#166),lib.rs,1,33,250,175,-75
rwf2__Rocket__a811a181,rwf2/Rocket,a811a1810d17c8d9802fe7d96f9a722c4ded399e,2024-05-02,nonfix,Support sqlx_sqlite extensions in db_pools.,contrib/db_pools/lib/src/config.rs|contrib/db_pools/lib/src/database.rs|contrib/db_pools/lib/src/lib.rs|contrib/db_pools/lib/src/pool.rs,4,31,2436,2922,486
LFDT-Lockness__cggmp21__60ef2c5b,LFDT-Lockness/cggmp21,60ef2c5b5b10876af50af5b30cbae3349abdf8d8,2023-10-16,nonfix,Add method to read signature from bytes and raw parts,cggmp21/src/signing.rs,1,56,1377,1690,313
fltk-rs__fltk-rs__75ba2c6d,fltk-rs/fltk-rs,75ba2c6da4f70e93ee938bbe42c79686cc712159,2025-10-22,nonfix,fltk-sys: Add support for linking for OpenBSD targets,fltk-sys/build/link.rs,1,6,7295,7538,243
tafia__calamine__73907300,tafia/calamine,73907300b990250f4106011b7309488e6aad57c2,2018-12-14,nonfix,add Cells iterator and impl ExactSizeIterator when possible,src/lib.rs,1,43,372,666,294
chris-morgan__anymap__8c1b4578,chris-morgan/anymap,8c1b4578cc1e307a7e7fff6152fc904c4e8d4371,2014-06-12,nonfix,Skip type checking in from-Any casting.,src/lib.rs,1,46,685,1193,508
matrix-org__vodozemac__e1ead593,matrix-org/vodozemac,e1ead593436ef7ebd9d8795a19477d439434e179,2021-12-16,nonfix,refactor(keys): Introduce constant for curve25519 key length.,src/account/types.rs,1,25,1203,1448,245
cloudflare__odoh-rs__913f4059,cloudflare/odoh-rs,913f4059ba60778c019da5a5df3774dbdf33964d,2021-04-29,nonfix,expose some internal data,src/protocol.rs,1,25,398,927,529
CosmWasm__serde-json-wasm__f8106f36,CosmWasm/serde-json-wasm,f8106f363c20c52f8e314f0b3dd3684684dc5d76,2021-01-15,nonfix,Add extra Unit ser/de tests,src/ser/mod.rs,1,7,1667,1958,291
denoland__deno__e004dacb,denoland/deno,e004dacbdd91765a8dc1b5e90d7ca3b17f9080a3,2026-07-22,nonfix,"refactor(web,core): migrate ext/web/blob.rs off serde_v8 (#36231)",ext/web/blob.rs|libs/core/convert.rs,2,44,2545,2834,289
dimforge__nalgebra__546d06b5,dimforge/nalgebra,546d06b541ea82d5fd975946b3b26db9bd97b18c,2024-03-19,nonfix,Update src/base/storage.rs,src/base/storage.rs,1,8,3803,4270,467
tokio-rs__tokio__6d25a001,tokio-rs/tokio,6d25a00145d0dfed10c93eb37704fde88967341c,2023-06-25,nonfix,fs: update cfg attr in `fs::read_dir` (#5806),tokio/src/fs/read_dir.rs,1,12,1425,1625,200
rust-lang__git2-rs__0454efba,rust-lang/git2-rs,0454efbaa0447a1d02eb11459a7db5e1c27d98e0,2021-06-01,nonfix,add bindings for `git_branch_name_is_valid` (#715),libgit2-sys/lib.rs|src/branch.rs,2,21,885,1237,352
longshorej__conqueue__5c6614c8,longshorej/conqueue,5c6614c88060595bffcf26532da4ad57f9ec1b4d,2019-09-03,nonfix,Use compare_exchange instead of compare_and_swap,src/lib.rs,1,145,3044,3569,525
antonmarsden__toodee__0438aa34,antonmarsden/toodee,0438aa34fb7ea31098cbbefe5c16df3aa91c0693,2020-05-25,nonfix,"Some improved implementations, and more test cases",src/copy.rs|src/ops.rs|src/tests.rs|src/tests_copy.rs,4,72,4522,4783,261
ogham__rust-users__56e5e17b,ogham/rust-users,56e5e17bf43a643302a7c2c335f5bac54cae2dc7,2016-01-28,nonfix,Add missing impl for BSD extras,src/base.rs,1,30,976,1222,246
blackbeam__rust-marc__ecacfbfd,blackbeam/rust-marc,ecacfbfd238061cc9bd79903106315d4b851f4eb,2023-04-06,nonfix,Add xml and utf8 errors,src/errors.rs,1,12,1544,1815,271
