cve,cwe,crate,repo,rustsec_id,advisory_date,commit_date,never_patched_upstream,audit_verdict,sheet_row
CVE-2025-62711,CWE-755,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2025-0112,2025-07-18,2025-09-08,no,WRONG_COMMIT,2
CVE-2025-64345,CWE-362,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2025-0118,2025-11-11,2025-11-11,no,OK,3
CVE-2025-62370,CWE-248,alloy-dyn-abi,alloy-rs/core,RUSTSEC-2025-0073,2025-10-15,2025-10-14,no,OK,4
CVE-2025-8671,CWE-404,pingora-core,cloudflare/pingora,RUSTSEC-2025-0070,2025-09-17,2025-07-25,no,OK,5
CVE-2025-59047,CWE-682,matrix-sdk-base,matrix-org/matrix-rust-sdk,RUSTSEC-2025-0065,2025-09-11,2025-09-08,no,OK,6
CVE-2025-55159,CWE-119,slab,tokio-rs/slab,RUSTSEC-2025-0047,2025-08-12,2025-08-08,no,OK,7
CVE-2025-53901,CWE-672,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2025-0046,2025-07-18,2025-07-18,no,OK,8
CVE-2025-53549,CWE-89,matrix-sdk-sqlite,matrix-org/matrix-rust-sdk,RUSTSEC-2025-0043,2025-07-11,2025-07-10,no,OK,9
CVE-2025-48937,CWE-290,matrix-sdk-crypto,matrix-org/matrix-rust-sdk,RUSTSEC-2025-0041,2025-06-11,2025-06-10,no,OK,10
CVE-2025-5791,CWE-266,users,ogham/rust-users,RUSTSEC-2025-0040,2025-01-15,,yes,SHA_NOT_FOUND,11
CVE-2025-4574,CWE-415,crossbeam-channel,crossbeam-rs/crossbeam,RUSTSEC-2025-0024,2025-04-08,2025-04-08,no,OK,12
CVE-2025-31130,CWE-328,gix-features,GitoxideLabs/gitoxide,RUSTSEC-2025-0021,2025-04-03,2025-04-02,no,OK,13
CVE-2025-4432,CWE-770,ring,briansmith/ring,RUSTSEC-2025-0009,2025-03-06,2025-03-05,no,OK,14
CVE-2025-24898,CWE-416,openssl,rust-openssl/rust-openssl,RUSTSEC-2025-0004,2025-02-02,2025-02-02,no,OK,15
CVE-2025-22620,CWE-281,gix-worktree-state,GitoxideLabs/gitoxide,RUSTSEC-2025-0001,2025-01-18,2025-01-24,no,OK,16
CVE-2024-30266,CWE-843,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2024-0441,2024-04-02,2024-04-02,no,OK,17
CVE-2024-47763,CWE-670,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2024-0440,2024-10-02,2024-10-09,no,OK,18
CVE-2024-47813,CWE-367,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2024-0439,2024-10-03,2024-10-09,no,OK,19
CVE-2024-51745,CWE-67,wasmtime (cap-std),bytecodealliance/cap-std,RUSTSEC-2024-0438,2024-11-02,2024-11-01,no,OK,20
CVE-2025-53605,CWE-674,protobuf,stepancheg/rust-protobuf,RUSTSEC-2024-0437,2024-12-12,2025-03-09,no,OK,21
CVE-2024-52813,CWE-223,matrix-sdk-crypto,matrix-org/matrix-rust-sdk,RUSTSEC-2024-0434,2024-01-07,2024-08-08,no,OK,22
