pool,layer,auc,pw,pw_eqlen
last,0,0.533610586011342,0.5460526315789473,0.4864864864864865
last,1,0.5326937618147447,0.5416666666666666,0.5675675675675675
last,2,0.5318431001890359,0.5855263157894737,0.6216216216216216
last,3,0.5490264650283554,0.625,0.5675675675675675
last,4,0.5318241965973535,0.5767543859649122,0.5405405405405406
last,5,0.5278922495274101,0.5855263157894737,0.5135135135135135
last,6,0.5636578449905482,0.6425438596491229,0.4864864864864865
last,7,0.5632608695652175,0.6118421052631579,0.5405405405405406
last,8,0.5467202268431002,0.5899122807017544,0.6486486486486487
last,9,0.5680812854442344,0.6557017543859649,0.5675675675675675
last,10,0.5585727788279773,0.5899122807017544,0.6486486486486487
last,11,0.5790453686200379,0.6557017543859649,0.6216216216216216
last,12,0.5772873345935728,0.6907894736842105,0.6216216216216216
last,13,0.5557939508506616,0.5986842105263158,0.4864864864864865
last,14,0.5662098298676749,0.668859649122807,0.6216216216216216
last,15,0.5863988657844991,0.6732456140350878,0.5675675675675675
last,16,0.5650756143667297,0.6337719298245614,0.5405405405405406
last,17,0.5660775047258979,0.6425438596491229,0.6486486486486487
last,18,0.573109640831758,0.6469298245614035,0.5945945945945946
last,19,0.5797069943289225,0.6469298245614035,0.5945945945945946
last,20,0.5760018903591682,0.625,0.5675675675675675
last,21,0.5811625708884688,0.6074561403508771,0.5405405405405406
last,22,0.5728449905482041,0.6206140350877193,0.5135135135135135
last,23,0.5698393194706994,0.6513157894736842,0.5675675675675675
last,24,0.5555482041587902,0.6030701754385965,0.4594594594594595
mean,0,0.5439981096408317,0.5855263157894737,0.5945945945945946
mean,1,0.5561153119092628,0.6162280701754386,0.6216216216216216
mean,2,0.5632419659735349,0.6469298245614035,0.6216216216216216
mean,3,0.5616351606805292,0.6381578947368421,0.5945945945945946
mean,4,0.5540548204158791,0.6293859649122807,0.6756756756756757
mean,5,0.5484026465028355,0.6337719298245614,0.6756756756756757
mean,6,0.5558128544423441,0.6425438596491229,0.6756756756756757
mean,7,0.5684782608695652,0.6820175438596491,0.7297297297297297
mean,8,0.5796124763705104,0.668859649122807,0.6756756756756757
mean,9,0.5708034026465029,0.6425438596491229,0.5945945945945946
mean,10,0.554905482041588,0.668859649122807,0.6216216216216216
mean,11,0.5465122873345936,0.6644736842105263,0.5945945945945946
mean,12,0.5423345935727788,0.668859649122807,0.6486486486486487
mean,13,0.5544517958412098,0.6425438596491229,0.6216216216216216
mean,14,0.5640737240075615,0.6644736842105263,0.6486486486486487
mean,15,0.5576843100189036,0.6776315789473685,0.7027027027027027
mean,16,0.5513516068052929,0.6513157894736842,0.6486486486486487
mean,17,0.5537712665406428,0.6776315789473685,0.7297297297297297
mean,18,0.5536200378071834,0.625,0.6756756756756757
mean,19,0.552296786389414,0.6600877192982456,0.7297297297297297
mean,20,0.5605198487712665,0.6469298245614035,0.6486486486486487
mean,21,0.5747542533081285,0.6776315789473685,0.7027027027027027
mean,22,0.5721266540642722,0.6995614035087719,0.7297297297297297
mean,23,0.5626748582230623,0.7083333333333334,0.6756756756756757
mean,24,0.5505765595463138,0.6776315789473685,0.6486486486486487
